cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,4.666666666666667,2.5,3.0,5.166666666666667,3.1446603773522015,2.9107081994288304,2.852873794770615,2,1,3,3,1,0,3.40582887969151,3.1103634584024675,0.6666666666666666,5,2.199087535215228,2.284473779961067
1,10,5,5,False,running,4.5,2.6666666666666665,3.5,4.833333333333333,2.3863035105460586,3.4840908267278117,3.4721111093332766,0,4,5,4,2,1,3.8166282741614563,3.3694855482168395,0.5833333333333334,12,3.098601408805974,1.74217619626748
2,7,3,4,False,running,4.333333333333333,3.1666666666666665,4.0,4.833333333333333,1.6996731711975948,3.7006005518624194,3.8908725099762504,0,5,5,5,2,1,3.671710229432346,3.68264600933151,0.5,12,3.458560671392647,1.2893446629166316
3,7,4,3,False,running,4.333333333333333,3.6666666666666665,4.0,4.5,0.8975274678557507,3.972125095937662,4.031128874149275,0,5,5,5,2,2,3.7907434817955963,3.7907434817955963,0.5833333333333334,12,3.7371396745000705,1.25
4,2,2,0,False,running,4.666666666666667,4.0,4.0,4.5,0.8333333333333336,4.068851871911234,4.031128874149275,0,5,5,5,2,2,3.9364154899452033,3.7907434817955963,0.5833333333333334,12,3.5910453486561695,1.25
5,3,2,1,False,running,4.333333333333333,3.8333333333333335,4.166666666666667,4.666666666666667,0.8498365855987975,4.0858835573770875,4.126472801046649,0,6,5,5,2,2,3.981807597778406,4.026445742191112,0.5,12,3.36908920964863,1.1666666666666667
6,3,2,1,False,running,4.5,4.0,4.166666666666667,4.833333333333333,0.8975274678557503,4.153311931459037,4.196559437338057,0,5,5,5,2,2,4.097810644397237,4.158805009501614,0.5833333333333334,12,3.3163909396113613,1.25
7,2,1,1,False,running,4.666666666666667,4.166666666666667,4.0,5.0,1.0671873729054748,4.3237072570242825,4.242640687119285,0,5,6,6,2,2,4.30754011041983,4.262148002586628,0.5833333333333334,12,3.4079758990774267,1.25
8,1,1,0,False,running,4.333333333333333,4.166666666666667,4.0,5.0,0.8975274678557503,4.28498671072748,4.242640687119285,0,5,6,6,2,2,4.262148002586628,4.262148002586628,0.5833333333333334,12,3.481018022190932,1.25
9,0,0,0,True,stable_no_position_changes,4.333333333333333,4.166666666666667,4.0,5.0,0.8975274678557503,4.28498671072748,4.242640687119285,0,5,6,6,2,2,4.262148002586628,4.262148002586628,0.5833333333333334,12,3.481018022190932,1.25
