cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,5.0,4.5,4.5,3.6666666666666665,0.9718253158075502,2.9860788111948193,2.3392781412697,2,4,1,2,0,0,2.9053884717589455,2.1480471013530615,0.6666666666666666,8,2.0242723220550283,1.7316633229258367
1,12,6,6,False,running,5.0,4.666666666666667,4.833333333333333,4.0,0.6871842709362772,4.0276819911981905,2.852873794770615,3,0,5,3,2,0,3.8995949176801794,2.6648437299772962,0.75,4,2.1642135623730954,2.8209909302080742
2,8,3,5,False,running,4.666666666666667,5.0,5.166666666666667,3.5,1.5811388300841898,4.268749491621899,3.118047822311618,5,0,5,4,2,0,4.225415432328666,3.1392784565127467,0.6666666666666666,1,1.6577435189160141,3.5212218263447923
3,8,3,5,False,running,4.166666666666667,5.166666666666667,5.5,3.6666666666666665,2.006932429798716,4.390646624106497,3.4840908267278126,9,0,6,4,2,1,4.43514489835126,3.615558345714104,0.5833333333333334,1,1.4166666666666667,3.9587412673196423
4,5,2,3,False,running,4.166666666666667,5.5,5.833333333333333,4.0,2.2422706745122847,4.32691832858239,3.8477987935383986,8,0,6,6,2,1,4.43514489835126,4.071837850024315,0.5833333333333334,1,1.25,4.179262878806363
5,3,1,2,False,running,4.0,5.5,5.833333333333333,4.5,2.0883273476902775,4.272001872658765,4.1298372311212885,7,0,6,6,2,2,4.389752790518057,4.30754011041983,0.5833333333333334,1,1.25,4.327508882983396
6,2,1,1,False,running,3.8333333333333335,5.5,5.833333333333333,4.666666666666667,2.166666666666666,4.249182927993987,4.126472801046649,8,0,6,6,2,2,4.389752790518057,4.30754011041983,0.5833333333333334,0,1.0833333333333333,4.893195600519575
7,1,1,0,False,running,3.6666666666666665,5.5,5.833333333333333,4.666666666666667,2.321398046197353,4.258977446393546,4.126472801046649,9,0,6,6,2,2,4.43514489835126,4.30754011041983,0.5,0,1.0,5.185177094934204
8,1,1,0,False,running,3.5,5.333333333333333,5.833333333333333,4.666666666666667,2.426703296426839,4.2196629670573875,4.126472801046649,11,0,5,6,2,2,4.389752790518057,4.30754011041983,0.5,0,1.0,5.426925468801471
9,2,1,1,False,running,3.3333333333333335,5.166666666666667,5.666666666666667,5.0,2.3392781412697,4.245913067618998,4.149966532662911,11,0,6,5,2,2,4.43514489835126,4.30754011041983,0.5833333333333334,0,1.0,5.356733463123649
10,1,0,1,False,running,3.3333333333333335,5.166666666666667,5.666666666666667,5.166666666666667,2.3333333333333335,4.245913067618998,4.245913067618999,10,0,6,6,2,2,4.43514489835126,4.43514489835126,0.5,0,1.0,5.333333333333333
11,0,0,0,True,stable_no_position_changes,3.3333333333333335,5.166666666666667,5.666666666666667,5.166666666666667,2.3333333333333335,4.245913067618998,4.245913067618999,10,0,6,6,2,2,4.43514489835126,4.43514489835126,0.5,0,1.0,5.333333333333333
