cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,6.0,4.0,3.8333333333333335,4.5,2.223610677354389,2.886751345948129,2.718251071716682,2,4,4,2,0,0,3.1972426158727036,2.7064187816213914,0.5,7,2.0400752472703934,1.7705448000209536
1,10,4,6,False,running,5.833333333333333,4.833333333333333,4.0,4.0,2.013840995599095,3.0459444804161775,2.449489742783178,9,0,4,0,0,0,3.218460930866554,2.452051171186092,0.5,2,1.67423605414188,2.838258066691059
2,7,3,4,False,running,6.0,4.833333333333333,3.5,4.0,2.6352313834736494,3.0230595245361758,2.6299556396765835,12,0,4,2,0,0,3.3430355130535645,2.7518108894545943,0.5,2,1.6666666666666667,3.002729937736344
3,10,4,6,False,running,6.5,4.833333333333333,2.5,3.6666666666666665,4.166666666666667,2.778888666755511,1.674979270186815,11,1,5,2,0,0,3.41658865557655,2.6454244165170153,0.5833333333333334,3,1.7065590553849228,3.407871189648487
4,8,4,4,False,running,6.833333333333333,5.5,2.0,3.6666666666666665,5.1693541397569405,2.592724864350674,1.247219128924647,13,0,5,2,0,0,3.605187808612355,2.8231757916607196,0.5,1,1.5690355937288494,4.13744801153602
5,5,3,2,False,running,7.0,5.833333333333333,1.6666666666666667,3.8333333333333335,5.696002496878354,1.9507833184532708,1.0137937550497034,18,0,2,3,0,0,3.398501822442326,2.9875131498501104,0.5,1,1.2602588021348051,4.717215550292139
6,5,4,1,False,running,7.5,6.5,1.5,4.0,6.5,1.7795130420052185,0.9574271077563381,19,0,4,3,1,0,3.9684948569393,3.1489083043021444,0.5833333333333334,0,1.1801898050140316,5.768595054706368
7,1,1,0,False,running,7.666666666666667,6.666666666666667,1.5,4.0,6.718548123582125,1.4529663145135578,0.9574271077563381,19,0,5,3,1,0,4.071837850024315,3.1489083043021444,0.5833333333333334,0,1.0833333333333333,6.144528731841149
8,2,2,0,False,running,7.666666666666667,6.5,1.5,4.0,6.654154925892376,1.0671873729054748,0.9574271077563381,21,0,4,3,1,0,3.840890069007871,3.1489083043021444,0.5,0,1.0,5.919197008547381
9,0,0,0,True,stable_no_position_changes,7.666666666666667,6.5,1.5,4.0,6.654154925892376,1.0671873729054748,0.9574271077563381,21,0,4,3,1,0,3.840890069007871,3.1489083043021444,0.5,0,1.0,5.919197008547381
