cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,4.666666666666667,2.5,3.0,5.166666666666667,3.1446603773522015,2.9107081994288304,2.852873794770615,2,1,3,3,1,0,3.40582887969151,3.1103634584024675,0.6666666666666666,5,2.199087535215228,2.284473779961067
1,12,6,6,False,running,4.166666666666667,3.3333333333333335,2.5,5.666666666666667,2.867441755680876,2.7131367660166177,2.3392781412697,3,2,2,2,0,0,2.868567899493922,3.051658609730159,0.6666666666666666,8,2.0549780569052682,1.8440825170409967
2,10,6,4,False,running,3.6666666666666665,4.5,2.0,5.666666666666667,2.034425935955617,2.3392781412697,2.4267032964268394,5,5,1,3,0,1,2.26699235170925,3.5151575563664466,0.5833333333333334,9,1.9762313868432386,1.5059223176554564
3,11,6,5,False,running,3.1666666666666665,5.166666666666667,2.0,6.333333333333333,1.6499158227686104,2.6977356760397746,2.6246692913372702,8,6,2,4,0,1,2.9507805795921485,3.9897131719331504,0.6666666666666666,8,2.056384923944122,1.5558371981424974
4,8,6,2,False,running,3.5,5.333333333333333,2.0,6.5,1.90029237516523,3.1841621957571333,2.6299556396765835,10,8,4,5,0,1,3.3694855482168395,4.117229957857518,0.5,8,2.2484300344498833,1.5549482516326243
5,4,3,1,False,running,3.3333333333333335,5.333333333333333,2.1666666666666665,6.666666666666667,1.771690968789109,2.848001248439177,2.3863035105460586,11,9,2,4,0,1,3.1675540414258823,3.9075004918349237,0.5833333333333334,10,1.9549835985930013,1.2980409352117894
6,2,1,1,False,running,3.1666666666666665,5.166666666666667,2.3333333333333335,6.5,1.5723301886761003,2.8185890875479602,2.852873794770615,11,9,2,5,0,1,3.1675540414258823,4.071837850024315,0.5833333333333334,10,1.8780525881037968,1.2898923887182563
7,3,2,1,False,running,3.3333333333333335,4.833333333333333,2.1666666666666665,6.666666666666667,2.1730674684008835,3.218867985971328,2.3863035105460586,11,9,4,4,0,1,3.4196321354291137,3.9075004918349237,0.5,9,1.6011326609900578,1.2208567949894071
8,3,2,1,False,running,3.0,5.166666666666667,2.0,6.833333333333333,1.9436506316150997,2.6718699236468995,1.9507833184532708,11,9,2,4,0,1,3.106559676321506,3.836135589628799,0.5,9,1.4959610625303208,1.2208567949894071
9,3,2,1,False,running,2.6666666666666665,5.5,2.1666666666666665,7.0,1.5811388300841898,2.1921577396609844,1.7716909687891083,11,9,2,4,0,1,2.945164521869472,3.600433329233283,0.5,9,1.4528315333508484,1.2208567949894071
10,3,2,1,False,running,3.0,5.833333333333333,2.0,7.166666666666667,1.6666666666666672,1.9507833184532708,1.3437096247164249,11,10,2,4,0,1,2.577102994163455,3.74610533738289,0.5,9,1.3387079251871652,1.2208567949894071
11,3,2,1,False,running,3.0,6.166666666666667,2.1666666666666665,7.333333333333333,1.4337208778404373,1.674979270186815,1.3017082793177757,12,11,2,4,0,1,2.577102994163455,3.74610533738289,0.6666666666666666,10,1.2898923887182563,1.2214045207910316
12,3,2,1,False,running,2.8333333333333335,6.166666666666667,2.3333333333333335,7.5,1.4240006242195882,1.8104634152000358,1.4624940645653537,11,10,2,4,0,1,2.8841701567650957,3.9075004918349237,0.5833333333333334,9,1.358380256645481,1.2845177968644246
13,3,2,1,False,running,2.8333333333333335,6.166666666666667,2.5,7.666666666666667,1.536590742882148,2.3687784005919825,1.7716909687891083,11,9,3,5,0,1,3.3162891423441,4.117229957857518,0.5833333333333334,9,1.5053745918538317,1.367851130197758
14,3,2,1,False,running,3.0,6.166666666666667,2.3333333333333335,7.5,1.4907119849998596,2.9107081994288304,1.4624940645653537,11,9,4,4,0,1,3.62944960345877,3.9075004918349237,0.5,9,1.5887079251871652,1.5887079251871652
15,3,2,1,False,running,2.8333333333333335,6.166666666666667,2.1666666666666665,7.333333333333333,1.3437096247164246,2.3687784005919825,1.3017082793177757,11,9,3,4,0,1,3.3162891423441,3.74610533738289,0.5833333333333334,9,1.4417135899788143,1.5053745918538317
16,3,2,1,False,running,2.8333333333333335,6.0,2.3333333333333335,7.166666666666667,1.269295517643985,2.034425935955617,1.7400510848184252,11,9,2,4,0,1,2.945164521869472,3.600433329233283,0.5,9,1.5558371981424974,1.3349804031530903
17,3,2,1,False,running,3.1666666666666665,5.833333333333333,2.1666666666666665,7.333333333333333,1.8027756377319946,2.223610677354389,1.3017082793177757,11,9,2,4,0,1,2.812805254558971,3.74610533738289,0.5833333333333334,10,1.5693603364898623,1.4355643968678633
18,3,2,1,False,running,2.8333333333333335,5.833333333333333,2.3333333333333335,7.5,1.7400510848184252,2.2973414586817036,1.4624940645653537,11,10,2,4,0,1,3.048507514954487,3.9075004918349237,0.5833333333333334,9,1.5250469233121475,1.4511844635310913
19,3,2,1,False,running,2.8333333333333335,6.166666666666667,2.1666666666666665,7.333333333333333,1.3437096247164246,2.3687784005919825,1.3017082793177757,11,9,3,4,0,1,3.3162891423441,3.74610533738289,0.5833333333333334,9,1.4417135899788143,1.5053745918538317
20,3,2,1,False,running,2.8333333333333335,6.0,2.3333333333333335,7.166666666666667,1.269295517643985,2.034425935955617,1.7400510848184252,11,9,2,4,0,1,2.945164521869472,3.600433329233283,0.5,9,1.5558371981424974,1.3349804031530903
21,3,2,1,False,running,2.8333333333333335,5.833333333333333,2.1666666666666665,7.333333333333333,1.6414763002993509,2.3687784005919825,1.3017082793177757,11,9,3,4,0,1,3.09389962278769,3.74610533738289,0.5833333333333334,9,1.5558371981424974,1.5053745918538317
22,2,1,1,False,running,2.6666666666666665,6.0,2.3333333333333335,7.5,1.5365907428821477,2.1343747458109497,1.4624940645653537,11,10,3,4,0,1,3.09389962278769,3.9075004918349237,0.5833333333333334,9,1.4417135899788143,1.367851130197758
23,3,2,1,False,running,2.8333333333333335,6.0,2.5,7.666666666666667,1.6996731711975952,2.6087459737497545,1.7716909687891083,11,9,3,5,0,1,3.398501822442326,4.117229957857518,0.5,9,1.5887079251871652,1.4511844635310913
24,2,1,1,False,running,3.0,6.166666666666667,2.3333333333333335,7.5,1.4907119849998596,2.9107081994288304,1.4624940645653537,11,9,4,4,0,1,3.62944960345877,3.9075004918349237,0.5,9,1.5887079251871652,1.5887079251871652
25,3,2,1,False,running,2.8333333333333335,6.166666666666667,2.3333333333333335,7.333333333333333,1.2692955176439842,2.3687784005919825,1.5634719199411433,11,9,3,4,0,1,3.3162891423441,3.74610533738289,0.6666666666666666,9,1.4910768522493474,1.436886723926607
