cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,4.666666666666667,2.5,3.0,5.166666666666667,3.1446603773522015,2.9107081994288304,2.852873794770615,2,1,3,3,1,0,3.40582887969151,3.1103634584024675,0.6666666666666666,5,2.199087535215228,2.284473779961067
1,11,6,5,False,running,5.0,3.0,3.6666666666666665,5.833333333333333,3.131382371342656,2.0,3.320809807528546,5,2,0,4,0,1,2.4707165212258757,3.5787377734490797,0.5833333333333334,4,1.9873337955873878,2.594154130068832
2,10,6,4,False,running,5.0,3.6666666666666665,3.6666666666666665,6.166666666666667,2.833333333333334,1.3743685418725535,3.7453675090407055,7,0,0,6,0,1,1.6155273264264,4.16262206569072,0.5833333333333334,2,1.7975962890493637,3.183988595025473
3,8,4,4,False,running,4.5,3.6666666666666665,3.6666666666666665,6.166666666666667,2.63523138347365,1.0671873729054748,4.044887033170532,11,0,0,6,0,3,1.2897948137849757,4.415637582883917,0.5,2,1.5833333333333333,3.63301101730336
4,6,3,3,False,running,4.166666666666667,4.333333333333333,3.8333333333333335,6.166666666666667,1.8633899812498254,1.0137937550497034,3.9930495169036466,10,0,0,6,0,3,0.9984507974857616,4.333424902785691,0.5833333333333334,2,1.8333333333333333,3.255590694981297
5,6,3,3,False,running,3.5,5.0,4.0,5.666666666666667,0.8333333333333336,0.9574271077563381,4.109609335312651,11,0,0,6,0,3,1.3798250660308844,4.242640687119285,0.5833333333333334,3,2.0833333333333335,2.8837519227186412
6,5,2,3,False,running,2.8333333333333335,4.833333333333333,4.166666666666667,5.333333333333333,1.4240006242195886,0.9718253158075502,4.28498671072748,11,1,0,6,0,3,1.848287383084559,4.333424902785691,0.75,2,1.9166666666666667,2.94019419089153
7,5,1,4,False,running,3.1666666666666665,5.166666666666667,4.666666666666667,5.0,1.5092308563562364,0.9718253158075502,4.346134936801766,12,0,0,6,0,2,1.6868922286325254,4.3529322182530334,0.5,2,1.9560113295832984,3.446668126763494
8,7,3,4,False,running,3.1666666666666665,4.166666666666667,5.0,4.5,1.8633899812498247,0.9718253158075502,4.5,12,0,0,6,0,3,1.5412202204829182,4.497850262982143,0.5833333333333334,3,2.0935921354681386,3.4817077384174726
9,4,1,3,False,running,3.5,4.0,5.166666666666667,4.166666666666667,1.6749792701868154,0.9574271077563381,4.503085362035432,11,0,0,6,0,4,1.3798250660308844,4.523735055348004,0.5833333333333334,3,2.25,3.485522408107267
10,2,1,1,False,running,3.8333333333333335,3.8333333333333335,5.333333333333333,4.166666666666667,1.5365907428821475,0.97182531580755,4.512328790226961,11,0,0,6,0,4,1.2341530578812774,4.569127163181206,0.5833333333333334,2,2.1666666666666665,3.575085582116778
11,3,1,2,False,running,3.5,4.0,5.166666666666667,4.5,1.7400510848184252,0.9574271077563381,4.624812308503869,12,0,0,6,0,4,1.3798250660308844,4.651339843279433,0.5833333333333334,2,1.9166666666666667,3.717540818321597
12,3,1,2,False,running,3.8333333333333335,3.8333333333333335,5.666666666666667,4.333333333333333,1.90029237516523,0.97182531580755,4.521553322083513,12,0,0,6,0,4,1.2341530578812774,4.651339843279433,0.6666666666666666,2,2.1666666666666665,3.7946365261489867
13,3,1,2,False,running,4.0,3.5,5.333333333333333,4.833333333333333,1.8856180831641263,0.9574271077563381,4.512328790226961,11,0,0,6,0,4,1.3798250660308844,4.569127163181206,0.5,2,2.1666666666666665,3.6128444118573024
14,2,0,2,False,running,4.0,3.5,5.166666666666667,5.0,1.90029237516523,0.9574271077563381,4.4503433076062295,11,0,0,6,0,4,1.3798250660308844,4.478342947514801,0.5,2,2.4166666666666665,3.592326807587692
15,1,0,1,False,running,4.0,3.5,5.166666666666667,5.166666666666667,2.0344259359556176,0.9574271077563381,4.428443418528808,11,0,0,6,0,4,1.3798250660308844,4.478342947514801,0.5833333333333334,2,2.5,3.666571354358528
16,5,3,2,False,running,4.0,4.5,5.0,5.333333333333333,1.3017082793177757,0.9574271077563381,4.459696053419884,11,0,0,6,0,4,0.9984507974857616,4.523735055348004,0.5833333333333334,3,2.3333333333333335,3.532859954716639
17,7,5,2,False,running,3.8333333333333335,6.166666666666667,4.833333333333333,5.166666666666667,1.4142135623730947,0.9718253158075502,4.503085362035432,11,2,0,6,0,4,1.9092817481889355,4.523735055348004,0.5,3,2.25,2.775144790617666
18,4,2,2,False,running,3.8333333333333335,6.833333333333333,4.666666666666667,5.0,2.0138409955990952,0.9718253158075502,4.606758320361751,12,1,1,6,0,4,2.5420814234320006,4.60594773544623,0.5,2,2.0833333333333335,3.0600452695012623
19,7,4,3,False,running,3.0,7.5,4.5,4.333333333333333,3.5039660069381067,0.9574271077563381,4.487637339278753,12,3,3,6,0,3,3.440850450422964,4.46102969071712,0.5,3,1.8333333333333333,3.181457674427745
20,6,4,2,False,running,2.5,7.0,4.5,4.333333333333333,3.3333333333333335,0.9574271077563381,4.561310727801336,11,3,2,6,0,4,3.266142555131825,4.523735055348004,0.5,4,2.0833333333333335,2.976317988535202
21,4,3,1,False,running,2.0,6.5,4.5,4.166666666666667,3.419714088113865,0.9574271077563381,4.552166761249221,11,2,2,6,0,4,3.266142555131825,4.523735055348004,0.5833333333333334,3,2.0833333333333335,3.1429846552018685
22,6,2,4,False,running,1.5,6.0,5.166666666666667,4.166666666666667,4.099457958749615,0.9574271077563381,4.116363011742823,11,1,3,6,0,2,3.440850450422964,4.143114750223378,0.5833333333333334,2,2.221404520791032,3.3220659515944857
23,5,2,3,False,running,2.1666666666666665,6.166666666666667,5.5,4.0,3.975620147292188,0.9718253158075502,4.031128874149275,11,1,1,6,0,2,2.9742004090110044,4.134543214655198,0.5833333333333334,2,2.1937129433613967,3.5072070739904206
24,9,5,4,False,running,3.6666666666666665,7.0,5.5,3.6666666666666665,3.804237403504443,1.1055415967851332,4.179978734661485,9,3,1,6,0,3,2.7777836838275167,4.333424902785691,0.5833333333333334,3,1.6666666666666667,3.128666706965031
25,4,2,2,False,running,3.6666666666666665,6.833333333333333,5.333333333333333,3.3333333333333335,3.8765677832043353,1.0137937550497034,4.176654695380556,10,1,1,6,0,3,2.5874735312652035,4.378817010618893,0.5833333333333334,1,1.5,3.583040222874564
26,5,3,2,False,running,4.166666666666667,6.833333333333333,5.5,3.1666666666666665,3.901566636906541,0.9718253158075502,4.0483192671637065,12,0,1,6,0,2,2.452051171186092,4.3529322182530334,0.6666666666666666,0,1.4023689270621826,3.8376200381559973
27,6,4,2,False,running,4.5,5.666666666666667,5.666666666666667,3.0,2.9107081994288304,1.0671873729054748,3.9860869143671325,10,0,0,6,0,3,1.4698553182767933,4.378817010618893,0.5833333333333334,1,1.5,3.696668471813963
28,5,2,3,False,running,4.5,5.333333333333333,5.166666666666667,3.0,2.4267032964268394,1.0671873729054748,4.017323597731316,10,0,0,6,0,3,1.2897948137849757,4.288032794952488,0.6666666666666666,2,1.9166666666666667,3.4412361906808955
29,4,3,1,False,running,4.833333333333333,4.666666666666667,5.166666666666667,2.8333333333333335,1.863389981249825,1.0137937550497034,3.9930495169036466,10,0,0,6,0,3,0.9984507974857616,4.333424902785691,0.5833333333333334,2,1.8333333333333333,3.255590694981297
30,5,2,3,False,running,5.166666666666667,4.166666666666667,5.0,3.3333333333333335,0.8498365855987977,0.9718253158075502,4.109609335312651,11,0,0,6,0,3,1.1441228056353687,4.242640687119285,0.6666666666666666,4,2.0833333333333335,2.8603520692262507
31,4,1,3,False,running,5.5,4.0,4.833333333333333,3.6666666666666665,0.7453559924999302,0.9574271077563381,4.28498671072748,11,0,0,6,0,3,1.3798250660308844,4.333424902785691,0.6666666666666666,2,1.9166666666666667,3.1216489787355393
32,3,0,3,False,running,5.5,4.0,4.666666666666667,4.0,0.833333333333333,0.9574271077563381,4.533823502911814,13,0,0,6,0,3,1.3798250660308844,4.543242370815347,0.5833333333333334,2,1.75,3.514945595336769
33,3,0,3,False,running,5.5,4.0,4.333333333333333,4.5,1.269295517643985,0.9574271077563381,4.6338129248192805,13,0,0,6,0,3,1.3798250660308844,4.6254550509135735,0.5,2,1.8333333333333333,3.6428027412017667
34,3,0,3,False,running,5.5,4.0,4.166666666666667,4.833333333333333,1.5723301886761003,0.9574271077563381,4.576510072581994,11,0,0,6,0,4,1.3798250660308844,4.569127163181206,0.5833333333333334,2,2.1666666666666665,3.6025856097224973
35,2,0,2,False,running,5.5,4.0,4.0,5.0,1.8027756377319946,0.9574271077563381,4.47213595499958,11,0,0,6,0,4,1.3798250660308844,4.478342947514801,0.5833333333333334,2,2.4166666666666665,3.592326807587692
36,3,2,1,False,running,5.0,4.5,3.8333333333333335,5.0,1.2692955176439846,0.9574271077563381,4.4503433076062295,11,0,0,6,0,4,0.9984507974857616,4.478342947514801,0.5,4,2.4166666666666665,3.5058136780219087
37,3,1,2,False,running,4.833333333333333,4.833333333333333,3.6666666666666665,4.833333333333333,1.1666666666666665,0.9718253158075502,4.512328790226961,11,0,0,6,0,4,0.9984507974857616,4.569127163181206,0.5833333333333334,2,2.1666666666666665,3.5676140619470833
38,3,1,2,False,running,4.5,5.0,3.8333333333333335,4.5,0.8333333333333331,0.9574271077563381,4.624812308503869,12,0,0,6,0,4,0.9984507974857616,4.651339843279433,0.5833333333333334,2,1.9166666666666667,3.5614240007089113
39,4,2,2,False,running,4.0,4.5,3.8333333333333335,4.333333333333333,0.23570226039551595,0.9574271077563381,4.585605497399201,12,0,0,6,0,4,0.9984507974857616,4.60594773544623,0.5,2,2.0833333333333335,3.450537533006445
