scenario,display_name,source_caption,seed,max_cycles,cycles_completed,stop_reason,squares_own,squares_other,crosses_own,crosses_other,final_movement_count,total_movement_count,stable_cycle_count,final_cycle_stable,recent_moving_cycles,final_centroid_distance,final_squares_dispersion,final_crosses_dispersion,final_same_group_adjacent_pairs,final_mixed_adjacent_pairs,final_squares_edge_count,final_crosses_edge_count,final_squares_corner_count,final_crosses_corner_count,final_squares_mean_center_distance,final_crosses_mean_center_distance,final_checkerboard_alignment,final_mixed_nearest_neighbor_count,final_mean_nearest_same_distance,final_mean_nearest_other_distance
crossroads,Crossroads,Crossroads,101,50,5,stable_no_position_changes,1,0,1,0,0,26,1,True,4,2.5495097567963922,0.9574271077563381,0.9574271077563381,22,5,0,0,0,0,2.216348910790576,1.3798250660308844,0.5,4,1.0,1.8041901283227404
crossroads,Crossroads,Crossroads,202,50,6,stable_no_position_changes,1,0,1,0,0,29,1,True,5,3.1622776601683795,0.9574271077563381,0.9574271077563381,22,0,0,0,0,0,2.216348910790576,1.3798250660308844,0.5,0,1.0,2.5663909396113618
crossroads,Crossroads,Crossroads,303,50,6,stable_no_position_changes,1,0,1,0,0,27,1,True,5,3.8078865529319543,0.9574271077563381,0.9574271077563381,22,0,0,0,0,0,1.9092817481889355,2.216348910790576,0.5,0,1.0,2.9461479417636816
crossroads,Crossroads,Crossroads,404,50,5,stable_no_position_changes,1,0,1,0,0,28,1,True,4,2.23606797749979,0.9574271077563381,0.9574271077563381,22,6,0,0,0,0,1.9092817481889355,1.3798250660308844,0.5,4,1.0,1.608380256645481
crossroads,Crossroads,Crossroads,505,50,8,stable_no_position_changes,1,0,1,0,0,34,1,True,7,2.23606797749979,0.9574271077563381,0.9574271077563381,22,6,0,0,0,0,1.3798250660308844,1.3798250660308844,0.5,4,1.0,1.608380256645481
mutual_suspicion,Mutual Suspicion,Mutual Suspicion,101,50,13,stable_no_position_changes,0,-1,0,-1,0,62,1,True,9,7.490735018081411,2.455153310442706,1.1666666666666665,17,0,5,5,2,1,4.30754011041983,4.071837850024315,0.5,0,1.3333333333333333,6.906798059509069
mutual_suspicion,Mutual Suspicion,Mutual Suspicion,202,50,11,stable_no_position_changes,0,-1,0,-1,0,43,1,True,9,2.3333333333333335,4.245913067618998,4.245913067618999,10,0,6,6,2,2,4.43514489835126,4.43514489835126,0.5,0,1.0,5.333333333333333
mutual_suspicion,Mutual Suspicion,Mutual Suspicion,303,50,7,stable_no_position_changes,0,-1,0,-1,0,34,1,True,6,7.380529941828176,1.536590742882148,2.4381231397212986,11,0,6,6,1,2,4.071837850024315,4.30754011041983,0.5833333333333334,0,1.25,6.900467015418343
mutual_suspicion,Mutual Suspicion,Mutual Suspicion,404,50,6,stable_no_position_changes,0,-1,0,-1,0,33,1,True,5,8.013876853447538,1.0540925533894596,1.0540925533894596,20,0,5,5,1,1,4.117229957857518,4.117229957857518,0.5,0,1.0,7.553164026941384
mutual_suspicion,Mutual Suspicion,Mutual Suspicion,505,50,5,stable_no_position_changes,0,-1,0,-1,0,28,1,True,4,3.655285366576885,4.126472801046649,3.4721111093332766,12,0,6,5,2,2,4.30754011041983,4.30754011041983,0.5833333333333334,1,1.623773447853214,5.424918292799398
