"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"references/csssa2026/Slumulation-master/OriginalModel/Slumulation_NetLogo6_1.nlogo"
"Population Growth Rate 30 Rep Reference"
"07/03/2026 14:06:56:660 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","staying-power","percent-inappropriate-land","informalityindex","percent-prime-land","initialcitylimit","popgrowthrate","SimulationRuntime","Politics","Develop","price-sensitivity","diffusion-rate","economicgrowthrate","initialinequality","[step]","slumpoppercent","centralslumpoppercent","peripheryslumpoppercent","num-slums","central-num-slums","peripheral-num-slums","slumareapercent","centralslumareapercent","peripheryslumareapercent","slum-density","central-slum-density","periphery-slum-density","red-density","blue-density","green-density","smallest-slum","largest-slum"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","1","0.019021739130434784","2.3890784982935154","0","3","3","0","0.8241758241758242","1.0380622837370241","0","2.3333333333333335","2.3333333333333335","0","1.0406976744186047","1","1","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","2","0.04","5.05050505050505","0","7","7","0","1.9073569482288828","2.422145328719723","0","2.142857142857143","2.142857142857143","0","1.076470588235294","1.0168067226890756","1","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","3","0.060209424083769635","7.876712328767123","0","11","11","0","2.9729729729729732","3.9285714285714284","0","2.090909090909091","2.090909090909091","0","1.125748502994012","1.016260162601626","1","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","4","0.08483290488431877","11.036789297658862","0","15","15","0","4.054054054054054","5.357142857142857","0","2.2","2.2","0","1.2","1.0148148148148148","1","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","5","0.09343434343434344","12.251655629139073","0","17","17","0","4.619565217391304","6.204379562043796","0","2.176470588235294","2.176470588235294","0","1.269736842105263","1.0291970802919708","1","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","6","0.10669975186104218","13.96103896103896","0","18","18","0","4.958677685950414","6.7164179104477615","0","2.388888888888889","2.388888888888889","0","1.3928571428571428","1.0283687943262412","1","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","7","0.1192214111922141","15.555555555555555","0","21","21","0","5.8495821727019495","7.984790874524715","0","2.3333333333333335","2.3333333333333335","0","1.5227272727272727","1.0289855072463767","1","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","8","0.1431980906921241","18.633540372670808","0","26","26","0","7.242339832869081","9.923664122137405","0","2.3076923076923075","2.3076923076923075","0","1.664","1.0289855072463767","1","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","9","0.15690866510538642","20.426829268292682","0","29","29","0","7.988980716253444","10.984848484848484","0","2.310344827586207","2.310344827586207","0","1.7235772357723578","1.027972027972028","1","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","10","0.16551724137931034","21.428571428571427","0","31","31","0","8.539944903581267","11.742424242424242","0","2.3225806451612905","2.3225806451612905","0","1.8099173553719008","1.0352112676056338","1","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","11","0.16252821670428894","21.052631578947366","0","31","31","0","8.423913043478262","11.610486891385769","0","2.3225806451612905","2.3225806451612905","0","1.814516129032258","1.0359712230215827","1","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","12","0.18181818181818182","23.054755043227665","1.9230769230769231","36","35","1","9.72972972972973","13.108614232209737","0.9708737864077669","2.2777777777777777","2.2857142857142856","2","1.9406779661016949","1.0416666666666667","1","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","13","0.1782608695652174","22.535211267605636","1.9047619047619049","36","35","1","9.62566844919786","12.962962962962962","0.9615384615384616","2.2777777777777777","2.2857142857142856","2","1.9666666666666666","1.0419580419580419","1","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","14","0.1791044776119403","22.841225626740947","1.8181818181818181","37","36","1","9.788359788359788","13.333333333333334","0.9259259259259258","2.27027027027027","2.2777777777777777","2","2","1.0416666666666667","1.013157894736842","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","15","0.1799163179916318","23.013698630136986","1.7699115044247788","38","37","1","9.947643979057592","13.653136531365314","0.9009009009009009","2.263157894736842","2.27027027027027","2","2.040983606557377","1.0416666666666667","1.0128205128205128","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","16","0.17659137577002054","22.82608695652174","1.680672268907563","38","37","1","9.743589743589745","13.553113553113553","0.8547008547008548","2.263157894736842","2.27027027027027","2","1.9921259842519685","1.0463576158940397","1.027027027027027","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","17","0.17338709677419356","22.82608695652174","1.5625","38","37","1","9.595959595959595","13.602941176470587","0.8064516129032258","2.263157894736842","2.27027027027027","2","1.984732824427481","1.0460526315789473","1.0266666666666666","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","18","0.17425742574257425","22.702702702702705","2.9629629629629632","39","37","2","9.653465346534654","13.503649635036496","1.5384615384615385","2.2564102564102564","2.27027027027027","2","1.9558823529411764","1.0522875816993464","1.0263157894736843","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","19","0.17475728155339806","22.811671087533156","2.898550724637681","40","38","2","9.828009828009828","13.86861313868613","1.5037593984962405","2.25","2.263157894736842","2","2.0072992700729926","1.0526315789473684","1.0256410256410255","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","20","0.17523809523809525","23.097112860892388","2.7777777777777777","41","39","2","9.879518072289157","14.130434782608695","1.4388489208633095","2.2439024390243905","2.2564102564102564","2","2.007142857142857","1.0506329113924051","1.0263157894736843","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","21","0.17570093457943925","22.857142857142858","4","42","39","3","10.023866348448687","14.079422382671481","2.112676056338028","2.238095238095238","2.2564102564102564","2","2.0422535211267605","1.0512820512820513","1.0253164556962024","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","22","0.1724770642201835","22.506393861892583","3.896103896103896","42","39","3","9.90566037735849","13.978494623655912","2.0689655172413794","2.238095238095238","2.2564102564102564","2","2.062937062937063","1.05625","1.0253164556962024","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","23","0.17657657657657658","22.391857506361323","6.172839506172839","44","39","5","10.256410256410255","13.978494623655912","3.3333333333333335","2.227272727272727","2.2564102564102564","2","2.1041666666666665","1.0573248407643312","1.0238095238095237","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","24","0.17314487632508835","21.553884711779446","7.18562874251497","44","38","6","10.161662817551962","13.571428571428571","3.9215686274509802","2.227272727272727","2.263157894736842","2","2.1448275862068966","1.064516129032258","1.0227272727272727","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","25","0.1733102253032929","21.5","7.909604519774012","45","38","7","10.204081632653061","13.571428571428571","4.3478260869565215","2.2222222222222223","2.263157894736842","2","2.12","1.0705128205128205","1.0222222222222221","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","26","0.16666666666666666","20.792079207920793","7.608695652173914","44","37","7","9.777777777777779","13.120567375886525","4.166666666666666","2.227272727272727","2.27027027027027","2","2.0636942675159236","1.0822784810126582","1.0333333333333334","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","27","0.16026711185308848","20.2970297029703","7.179487179487179","43","36","7","9.307359307359308","12.7208480565371","3.910614525139665","2.2325581395348837","2.2777777777777777","2","1.9705882352941178","1.0844155844155845","1.0319148936170213","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","28","0.16065573770491803","20.689655172413794","6.862745098039216","44","37","7","9.381663113006397","13.120567375886525","3.7433155080213902","2.227272727272727","2.27027027027027","2","1.971264367816092","1.0838709677419356","1.03125","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","29","0.15755627009646303","20.74074074074074","6.451612903225806","44","37","7","9.18580375782881","13.120567375886525","3.5532994923857872","2.227272727272727","2.27027027027027","2","1.9829545454545454","1.0745341614906831","1.0309278350515463","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","30","0.15457413249211358","20.843672456575682","6.0606060606060606","44","37","7","9.01639344262295","13.261648745519713","3.349282296650718","2.227272727272727","2.27027027027027","2","1.940217391304348","1.0880503144654088","1.0297029702970297","2","2"
"1","0.3","10","0.7","10","9","2","50","true","true","0.1","0.03","2","10","31","0.15170278637770898","20.14742014742015","6.694560669456067","44","36","8","8.817635270541082","12.7208480565371","3.7037037037037033","2.227272727272727","2.2777777777777777","2","1.9162303664921465","1.0869565217391304","1.0294117647058822","2","2"
