engine,run_number,seed,patch_index,slum_occupants
netlogo,1,20260712,1,2
netlogo,1,20260712,2,2
netlogo,1,20260712,3,2
netlogo,1,20260712,4,2
netlogo,1,20260712,5,2
netlogo,1,20260712,6,2
netlogo,1,20260712,7,2
netlogo,1,20260712,8,2
netlogo,1,20260712,9,2
netlogo,1,20260712,10,2
netlogo,1,20260712,11,2
netlogo,1,20260712,12,2
netlogo,1,20260712,13,2
netlogo,1,20260712,14,2
netlogo,1,20260712,15,2
netlogo,1,20260712,16,2
netlogo,1,20260712,17,2
netlogo,1,20260712,18,2
netlogo,1,20260712,19,2
netlogo,1,20260712,20,2
netlogo,1,20260712,21,2
netlogo,1,20260712,22,2
netlogo,1,20260712,23,2
netlogo,1,20260712,24,2
netlogo,1,20260712,25,2
netlogo,1,20260712,26,2
netlogo,1,20260712,27,2
netlogo,1,20260712,28,2
netlogo,1,20260712,29,2
netlogo,1,20260712,30,2
netlogo,1,20260712,31,2
netlogo,1,20260712,32,2
netlogo,1,20260712,33,2
netlogo,1,20260712,34,2
netlogo,1,20260712,35,2
netlogo,1,20260712,36,2
netlogo,1,20260712,37,2
netlogo,1,20260712,38,2
netlogo,1,20260712,39,2
netlogo,1,20260712,40,2
netlogo,1,20260712,41,2
netlogo,1,20260712,42,2
netlogo,1,20260712,43,2
netlogo,1,20260712,44,2
netlogo,1,20260712,45,2
netlogo,1,20260712,46,2
netlogo,1,20260712,47,2
netlogo,1,20260712,48,2
netlogo,1,20260712,49,2
netlogo,1,20260712,50,2
netlogo,1,20260712,51,2
netlogo,1,20260712,52,2
netlogo,1,20260712,53,2
netlogo,1,20260712,54,2
netlogo,1,20260712,55,2
netlogo,1,20260712,56,2
netlogo,1,20260712,57,2
netlogo,1,20260712,58,2
netlogo,1,20260712,59,2
netlogo,1,20260712,60,2
netlogo,1,20260712,61,2
netlogo,1,20260712,62,2
netlogo,1,20260712,63,2
netlogo,1,20260712,64,2
netlogo,1,20260712,65,2
netlogo,1,20260712,66,2
netlogo,1,20260712,67,2
netlogo,1,20260712,68,2
netlogo,1,20260712,69,2
netlogo,1,20260712,70,2
netlogo,1,20260712,71,2
netlogo,1,20260712,72,2
netlogo,1,20260712,73,2
netlogo,1,20260712,74,2
netlogo,1,20260712,75,2
netlogo,1,20260712,76,2
netlogo,1,20260712,77,2
netlogo,1,20260712,78,2
netlogo,1,20260712,79,2
netlogo,1,20260712,80,2
netlogo,1,20260712,81,2
netlogo,1,20260712,82,2
netlogo,1,20260712,83,2
netlogo,1,20260712,84,2
netlogo,1,20260712,85,2
netlogo,1,20260712,86,2
netlogo,1,20260712,87,2
netlogo,1,20260712,88,2
netlogo,1,20260712,89,2
netlogo,1,20260712,90,2
netlogo,1,20260712,91,2
netlogo,1,20260712,92,2
netlogo,1,20260712,93,2
netlogo,1,20260712,94,2
netlogo,1,20260712,95,2
netlogo,1,20260712,96,2
netlogo,1,20260712,97,2
netlogo,1,20260712,98,2
netlogo,1,20260712,99,2
netlogo,1,20260712,100,2
netlogo,1,20260712,101,2
netlogo,1,20260712,102,2
netlogo,1,20260712,103,2
netlogo,1,20260712,104,2
netlogo,1,20260712,105,2
netlogo,1,20260712,106,2
netlogo,1,20260712,107,2
netlogo,1,20260712,108,2
netlogo,1,20260712,109,2
netlogo,1,20260712,110,2
netlogo,1,20260712,111,2
netlogo,1,20260712,112,3
netlogo,1,20260712,113,3
netlogo,1,20260712,114,3
netlogo,1,20260712,115,3
netlogo,1,20260712,116,3
netlogo,1,20260712,117,3
netlogo,1,20260712,118,3
netlogo,1,20260712,119,3
netlogo,1,20260712,120,3
netlogo,1,20260712,121,3
netlogo,1,20260712,122,3
netlogo,1,20260712,123,3
netlogo,1,20260712,124,3
netlogo,1,20260712,125,3
netlogo,1,20260712,126,3
netlogo,1,20260712,127,4
netlogo,1,20260712,128,4
netlogo,1,20260712,129,4
netlogo,1,20260712,130,4
netlogo,1,20260712,131,4
netlogo,1,20260712,132,4
netlogo,1,20260712,133,4
netlogo,1,20260712,134,4
netlogo,1,20260712,135,5
netlogo,1,20260712,136,11
netlogo,2,20260713,1,2
netlogo,2,20260713,2,2
netlogo,2,20260713,3,2
netlogo,2,20260713,4,2
netlogo,2,20260713,5,2
netlogo,2,20260713,6,2
netlogo,2,20260713,7,2
netlogo,2,20260713,8,2
netlogo,2,20260713,9,2
netlogo,2,20260713,10,2
netlogo,2,20260713,11,2
netlogo,2,20260713,12,2
netlogo,2,20260713,13,2
netlogo,2,20260713,14,2
netlogo,2,20260713,15,2
netlogo,2,20260713,16,2
netlogo,2,20260713,17,2
netlogo,2,20260713,18,2
netlogo,2,20260713,19,2
netlogo,2,20260713,20,2
netlogo,2,20260713,21,2
netlogo,2,20260713,22,2
netlogo,2,20260713,23,2
netlogo,2,20260713,24,2
netlogo,2,20260713,25,2
netlogo,2,20260713,26,2
netlogo,2,20260713,27,2
netlogo,2,20260713,28,2
netlogo,2,20260713,29,2
netlogo,2,20260713,30,2
netlogo,2,20260713,31,2
netlogo,2,20260713,32,2
netlogo,2,20260713,33,2
netlogo,2,20260713,34,2
netlogo,2,20260713,35,2
netlogo,2,20260713,36,2
