experiment,parameter_condition,staying-power,percent-inappropriate-land,informalityindex,percent-prime-land,initialcitylimit,popgrowthrate,SimulationRuntime,Politics,Develop,price-sensitivity,diffusion-rate,economicgrowthrate,initialinequality,step,metric,netlogo_n,netlogo_finite_n,netlogo_nonfinite_n,netlogo_mean,netlogo_stdev,netlogo_min,netlogo_q25,netlogo_median,netlogo_q75,netlogo_max,mesa_n,mesa_finite_n,mesa_nonfinite_n,mesa_mean,mesa_stdev,mesa_min,mesa_q25,mesa_median,mesa_q75,mesa_max,mean_difference_mesa_minus_netlogo,absolute_mean_difference,relative_mean_difference
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,50,central-num-slums,30,30,0,23.866666666666667,5.5506031566217064,15.0,19.0,23.0,27.75,35.0,30,30,0,24.133333333333333,4.918181142162867,14.0,21.0,24.0,28.0,34.0,0.2666666666666657,0.2666666666666657,0.01117318435754186
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,50,central-slum-density,30,30,0,2.6674762888823103,0.37498815229036825,2.0,2.3104395604395602,2.7434210526315788,2.934873949579832,3.391304347826087,30,30,0,2.708243761085274,0.35033575594937205,2.05,2.46875,2.745967741935484,2.9367167919799497,3.4782608695652173,0.04076747220296362,0.04076747220296362,0.015283161980812003
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,50,centralslumareapercent,30,30,0,8.278497358667627,1.9223359818981547,5.244755244755245,6.58010140330642,7.972294309880815,9.61018598615917,12.152777777777777,30,30,0,8.37710386148018,1.709808642612269,4.878048780487805,7.279095282302304,8.318915801614763,9.747628726287264,11.846689895470384,0.09860650281255268,0.09860650281255268,0.011911159542656759
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,50,centralslumpoppercent,30,30,0,16.3776570495872,4.123460071308511,8.086253369272237,13.740758300351803,15.889164598842019,19.52618615504278,26.172839506172842,30,30,0,16.689424992352485,3.883540604719028,9.382716049382717,14.25989847715736,16.272003858210756,19.73549971660684,25.874125874125873,0.31176794276528597,0.31176794276528597,0.019036174821669263
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,50,num-slums,30,30,0,130.5,15.346009253222807,87.0,125.0,134.0,139.0,153.0,30,30,0,125.66666666666667,19.286109586656032,61.0,122.0,130.5,136.75,149.0,-4.833333333333329,4.833333333333329,-0.037037037037037
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,50,peripheral-num-slums,30,30,0,106.63333333333334,13.689873764142638,65.0,100.0,109.0,116.0,125.0,30,30,0,101.53333333333333,19.732230475550146,34.0,98.0,106.5,112.75,128.0,-5.1000000000000085,5.1000000000000085,-0.04782744607689911
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,50,periphery-slum-density,30,30,0,2.2425260142807266,0.07772566831329233,2.0615384615384613,2.1879222972972974,2.246812979863827,2.293428571428571,2.398230088495575,30,30,0,2.204602352466628,0.08249868702907039,2.0,2.148427260812582,2.212406015037594,2.267842955508475,2.3486238532110093,-0.037923661814098786,0.037923661814098786,-0.016911135733808876
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,50,peripheryslumareapercent,30,30,0,11.252641159966107,1.6393069037695431,6.422924901185771,10.652653083167571,11.48323059737605,12.19516300615397,13.812154696132598,30,30,0,10.653578073595583,2.2223940928419736,3.2196969696969697,10.46637710077895,11.271040840206627,11.925997149562924,13.51636747624076,-0.5990630863705242,0.5990630863705242,-0.05323755355336761
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,50,peripheryslumpoppercent,30,30,0,21.00369576523883,3.059675906660833,11.703056768558952,19.812876236708647,21.810201486697967,22.844636028923873,24.956521739130437,30,30,0,19.755497889112874,4.10583494555834,5.94925634295713,19.557260786281127,20.726551226551226,21.96991335251549,25.086805555555557,-1.248197876125957,1.248197876125957,-0.0594275355193312
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,50,slum-density,30,30,0,2.320281176356381,0.10122790195160081,2.1415929203539825,2.278367783321454,2.3064387917329094,2.384162104622871,2.5661764705882355,30,30,0,2.3070090769555054,0.1023273754795371,2.11,2.242250361048071,2.30370516357903,2.3609709498848774,2.5757575757575757,-0.013272099400875703,0.013272099400875703,-0.0057200392504659055
