engine,run_number,seed,bin,patch_count,run_patch_total,probability
netlogo,1,20260712,2,111,136,0.8161764705882353
netlogo,1,20260712,3,15,136,0.11029411764705882
netlogo,1,20260712,4,8,136,0.058823529411764705
netlogo,1,20260712,5,1,136,0.007352941176470588
netlogo,1,20260712,6,0,136,0.0
netlogo,1,20260712,7,0,136,0.0
netlogo,1,20260712,8,0,136,0.0
netlogo,1,20260712,9,0,136,0.0
netlogo,1,20260712,10,0,136,0.0
netlogo,1,20260712,11,1,136,0.007352941176470588
netlogo,1,20260712,12,0,136,0.0
netlogo,1,20260712,13,0,136,0.0
netlogo,1,20260712,14,0,136,0.0
netlogo,1,20260712,15,0,136,0.0
netlogo,1,20260712,16,0,136,0.0
netlogo,1,20260712,17,0,136,0.0
netlogo,1,20260712,18,0,136,0.0
netlogo,1,20260712,19,0,136,0.0
netlogo,1,20260712,20,0,136,0.0
netlogo,1,20260712,21,0,136,0.0
netlogo,1,20260712,22,0,136,0.0
netlogo,1,20260712,23,0,136,0.0
netlogo,1,20260712,24,0,136,0.0
netlogo,1,20260712,25,0,136,0.0
netlogo,1,20260712,26,0,136,0.0
netlogo,1,20260712,27,0,136,0.0
netlogo,1,20260712,28,0,136,0.0
netlogo,1,20260712,29,0,136,0.0
netlogo,1,20260712,30,0,136,0.0
netlogo,1,20260712,31+,0,136,0.0
netlogo,2,20260713,2,106,136,0.7794117647058824
netlogo,2,20260713,3,19,136,0.13970588235294118
netlogo,2,20260713,4,3,136,0.022058823529411766
netlogo,2,20260713,5,3,136,0.022058823529411766
netlogo,2,20260713,6,1,136,0.007352941176470588
netlogo,2,20260713,7,1,136,0.007352941176470588
netlogo,2,20260713,8,0,136,0.0
netlogo,2,20260713,9,3,136,0.022058823529411766
netlogo,2,20260713,10,0,136,0.0
netlogo,2,20260713,11,0,136,0.0
netlogo,2,20260713,12,0,136,0.0
netlogo,2,20260713,13,0,136,0.0
netlogo,2,20260713,14,0,136,0.0
netlogo,2,20260713,15,0,136,0.0
netlogo,2,20260713,16,0,136,0.0
netlogo,2,20260713,17,0,136,0.0
netlogo,2,20260713,18,0,136,0.0
netlogo,2,20260713,19,0,136,0.0
netlogo,2,20260713,20,0,136,0.0
netlogo,2,20260713,21,0,136,0.0
netlogo,2,20260713,22,0,136,0.0
netlogo,2,20260713,23,0,136,0.0
netlogo,2,20260713,24,0,136,0.0
netlogo,2,20260713,25,0,136,0.0
netlogo,2,20260713,26,0,136,0.0
netlogo,2,20260713,27,0,136,0.0
netlogo,2,20260713,28,0,136,0.0
netlogo,2,20260713,29,0,136,0.0
netlogo,2,20260713,30,0,136,0.0
netlogo,2,20260713,31+,0,136,0.0
netlogo,3,20260714,2,107,130,0.823076923076923
netlogo,3,20260714,3,17,130,0.13076923076923078
netlogo,3,20260714,4,3,130,0.023076923076923078
netlogo,3,20260714,5,2,130,0.015384615384615385
netlogo,3,20260714,6,1,130,0.007692307692307693
netlogo,3,20260714,7,0,130,0.0
netlogo,3,20260714,8,0,130,0.0
netlogo,3,20260714,9,0,130,0.0
netlogo,3,20260714,10,0,130,0.0
netlogo,3,20260714,11,0,130,0.0
netlogo,3,20260714,12,0,130,0.0
netlogo,3,20260714,13,0,130,0.0
netlogo,3,20260714,14,0,130,0.0
netlogo,3,20260714,15,0,130,0.0
netlogo,3,20260714,16,0,130,0.0
netlogo,3,20260714,17,0,130,0.0
netlogo,3,20260714,18,0,130,0.0
netlogo,3,20260714,19,0,130,0.0
netlogo,3,20260714,20,0,130,0.0
netlogo,3,20260714,21,0,130,0.0
netlogo,3,20260714,22,0,130,0.0
netlogo,3,20260714,23,0,130,0.0
netlogo,3,20260714,24,0,130,0.0
netlogo,3,20260714,25,0,130,0.0
netlogo,3,20260714,26,0,130,0.0
netlogo,3,20260714,27,0,130,0.0
netlogo,3,20260714,28,0,130,0.0
netlogo,3,20260714,29,0,130,0.0
netlogo,3,20260714,30,0,130,0.0
netlogo,3,20260714,31+,0,130,0.0
netlogo,4,20260715,2,111,145,0.7655172413793103
netlogo,4,20260715,3,20,145,0.13793103448275862
netlogo,4,20260715,4,9,145,0.06206896551724138
netlogo,4,20260715,5,3,145,0.020689655172413793
netlogo,4,20260715,6,1,145,0.006896551724137931
netlogo,4,20260715,7,0,145,0.0
netlogo,4,20260715,8,1,145,0.006896551724137931
netlogo,4,20260715,9,0,145,0.0
netlogo,4,20260715,10,0,145,0.0
netlogo,4,20260715,11,0,145,0.0
netlogo,4,20260715,12,0,145,0.0
netlogo,4,20260715,13,0,145,0.0
netlogo,4,20260715,14,0,145,0.0
netlogo,4,20260715,15,0,145,0.0
netlogo,4,20260715,16,0,145,0.0
netlogo,4,20260715,17,0,145,0.0
netlogo,4,20260715,18,0,145,0.0
netlogo,4,20260715,19,0,145,0.0
netlogo,4,20260715,20,0,145,0.0
netlogo,4,20260715,21,0,145,0.0
netlogo,4,20260715,22,0,145,0.0
netlogo,4,20260715,23,0,145,0.0
netlogo,4,20260715,24,0,145,0.0
netlogo,4,20260715,25,0,145,0.0
netlogo,4,20260715,26,0,145,0.0
netlogo,4,20260715,27,0,145,0.0
netlogo,4,20260715,28,0,145,0.0
