experiment,parameter_condition,staying-power,percent-inappropriate-land,informalityindex,percent-prime-land,initialcitylimit,popgrowthrate,SimulationRuntime,Politics,Develop,price-sensitivity,diffusion-rate,economicgrowthrate,initialinequality,step,metric,netlogo_n,netlogo_finite_n,netlogo_nonfinite_n,netlogo_mean,netlogo_stdev,netlogo_min,netlogo_q25,netlogo_median,netlogo_q75,netlogo_max,mesa_n,mesa_finite_n,mesa_nonfinite_n,mesa_mean,mesa_stdev,mesa_min,mesa_q25,mesa_median,mesa_q75,mesa_max,mean_difference_mesa_minus_netlogo,absolute_mean_difference,relative_mean_difference
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,0,central-num-slums,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,0,central-slum-density,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,0,centralslumareapercent,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,0,centralslumpoppercent,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,0,num-slums,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,0,peripheral-num-slums,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,0,periphery-slum-density,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,0,peripheryslumareapercent,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,0,peripheryslumpoppercent,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Typical Run,staying-power=0.3;percent-inappropriate-land=10;informalityindex=0.7;percent-prime-land=10;initialcitylimit=9;popgrowthrate=3;SimulationRuntime=50;Politics=True;Develop=True;price-sensitivity=0.1;diffusion-rate=0.03;economicgrowthrate=2;initialinequality=10,0.3,10,0.7,10,9,3,50,True,True,0.1,0.03,2,10,0,slum-density,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
