bundle_id,paper_promotive-level,mesa_promotive_level,paper_risk-level,mesa_risk_level,paper_schools-promotive,mesa_schools_promotive,paper_schools-risk,mesa_schools_risk,paper_neighborhood-promotive,mesa_neighborhood_promotive,paper_neighborhood-risk,mesa_neighborhood_risk
1,25,25,25,25,25,25,25,25,25,25,25,25
2,25,25,25,25,25,25,25,25,25,25,50,50
3,25,25,25,25,25,25,25,25,25,25,75,75
4,25,25,25,25,25,25,25,25,50,50,25,25
5,25,25,25,25,25,25,25,25,50,50,50,50
6,25,25,25,25,25,25,25,25,50,50,75,75
7,25,25,25,25,25,25,25,25,75,75,25,25
8,25,25,25,25,25,25,25,25,75,75,50,50
9,25,25,25,25,25,25,25,25,75,75,75,75
10,25,25,25,25,25,25,50,50,25,25,25,25
11,25,25,25,25,25,25,50,50,25,25,50,50
12,25,25,25,25,25,25,50,50,25,25,75,75
13,25,25,25,25,25,25,50,50,50,50,25,25
14,25,25,25,25,25,25,50,50,50,50,50,50
15,25,25,25,25,25,25,50,50,50,50,75,75
16,25,25,25,25,25,25,50,50,75,75,25,25
17,25,25,25,25,25,25,50,50,75,75,50,50
18,25,25,25,25,25,25,50,50,75,75,75,75
19,25,25,25,25,25,25,75,75,25,25,25,25
20,25,25,25,25,25,25,75,75,25,25,50,50
21,25,25,25,25,25,25,75,75,25,25,75,75
22,25,25,25,25,25,25,75,75,50,50,25,25
23,25,25,25,25,25,25,75,75,50,50,50,50
24,25,25,25,25,25,25,75,75,50,50,75,75
25,25,25,25,25,25,25,75,75,75,75,25,25
26,25,25,25,25,25,25,75,75,75,75,50,50
27,25,25,25,25,25,25,75,75,75,75,75,75
28,25,25,25,25,50,50,25,25,25,25,25,25
29,25,25,25,25,50,50,25,25,25,25,50,50
30,25,25,25,25,50,50,25,25,25,25,75,75
31,25,25,25,25,50,50,25,25,50,50,25,25
32,25,25,25,25,50,50,25,25,50,50,50,50
33,25,25,25,25,50,50,25,25,50,50,75,75
34,25,25,25,25,50,50,25,25,75,75,25,25
35,25,25,25,25,50,50,25,25,75,75,50,50
36,25,25,25,25,50,50,25,25,75,75,75,75
37,25,25,25,25,50,50,50,50,25,25,25,25
38,25,25,25,25,50,50,50,50,25,25,50,50
39,25,25,25,25,50,50,50,50,25,25,75,75
40,25,25,25,25,50,50,50,50,50,50,25,25
41,25,25,25,25,50,50,50,50,50,50,50,50
42,25,25,25,25,50,50,50,50,50,50,75,75
43,25,25,25,25,50,50,50,50,75,75,25,25
44,25,25,25,25,50,50,50,50,75,75,50,50
45,25,25,25,25,50,50,50,50,75,75,75,75
46,25,25,25,25,50,50,75,75,25,25,25,25
47,25,25,25,25,50,50,75,75,25,25,50,50
48,25,25,25,25,50,50,75,75,25,25,75,75
49,25,25,25,25,50,50,75,75,50,50,25,25
50,25,25,25,25,50,50,75,75,50,50,50,50
51,25,25,25,25,50,50,75,75,50,50,75,75
52,25,25,25,25,50,50,75,75,75,75,25,25
53,25,25,25,25,50,50,75,75,75,75,50,50
54,25,25,25,25,50,50,75,75,75,75,75,75
55,25,25,25,25,75,75,25,25,25,25,25,25
56,25,25,25,25,75,75,25,25,25,25,50,50
57,25,25,25,25,75,75,25,25,25,25,75,75
58,25,25,25,25,75,75,25,25,50,50,25,25
59,25,25,25,25,75,75,25,25,50,50,50,50
60,25,25,25,25,75,75,25,25,50,50,75,75
61,25,25,25,25,75,75,25,25,75,75,25,25
62,25,25,25,25,75,75,25,25,75,75,50,50
63,25,25,25,25,75,75,25,25,75,75,75,75
64,25,25,25,25,75,75,50,50,25,25,25,25
65,25,25,25,25,75,75,50,50,25,25,50,50
66,25,25,25,25,75,75,50,50,25,25,75,75
67,25,25,25,25,75,75,50,50,50,50,25,25
68,25,25,25,25,75,75,50,50,50,50,50,50
69,25,25,25,25,75,75,50,50,50,50,75,75
70,25,25,25,25,75,75,50,50,75,75,25,25
71,25,25,25,25,75,75,50,50,75,75,50,50
72,25,25,25,25,75,75,50,50,75,75,75,75
73,25,25,25,25,75,75,75,75,25,25,25,25
74,25,25,25,25,75,75,75,75,25,25,50,50
75,25,25,25,25,75,75,75,75,25,25,75,75
76,25,25,25,25,75,75,75,75,50,50,25,25
77,25,25,25,25,75,75,75,75,50,50,50,50
78,25,25,25,25,75,75,75,75,50,50,75,75
79,25,25,25,25,75,75,75,75,75,75,25,25
80,25,25,25,25,75,75,75,75,75,75,50,50
81,25,25,25,25,75,75,75,75,75,75,75,75
82,25,25,50,50,25,25,25,25,25,25,25,25
83,25,25,50,50,25,25,25,25,25,25,50,50
84,25,25,50,50,25,25,25,25,25,25,75,75
85,25,25,50,50,25,25,25,25,50,50,25,25
86,25,25,50,50,25,25,25,25,50,50,50,50
87,25,25,50,50,25,25,25,25,50,50,75,75
88,25,25,50,50,25,25,25,25,75,75,25,25
89,25,25,50,50,25,25,25,25,75,75,50,50
90,25,25,50,50,25,25,25,25,75,75,75,75
91,25,25,50,50,25,25,50,50,25,25,25,25
92,25,25,50,50,25,25,50,50,25,25,50,50
93,25,25,50,50,25,25,50,50,25,25,75,75
94,25,25,50,50,25,25,50,50,50,50,25,25
95,25,25,50,50,25,25,50,50,50,50,50,50
96,25,25,50,50,25,25,50,50,50,50,75,75
97,25,25,50,50,25,25,50,50,75,75,25,25
98,25,25,50,50,25,25,50,50,75,75,50,50
99,25,25,50,50,25,25,50,50,75,75,75,75
100,25,25,50,50,25,25,75,75,25,25,25,25
101,25,25,50,50,25,25,75,75,25,25,50,50
102,25,25,50,50,25,25,75,75,25,25,75,75
103,25,25,50,50,25,25,75,75,50,50,25,25
104,25,25,50,50,25,25,75,75,50,50,50,50
105,25,25,50,50,25,25,75,75,50,50,75,75
106,25,25,50,50,25,25,75,75,75,75,25,25
107,25,25,50,50,25,25,75,75,75,75,50,50
108,25,25,50,50,25,25,75,75,75,75,75,75
109,25,25,50,50,50,50,25,25,25,25,25,25
110,25,25,50,50,50,50,25,25,25,25,50,50
111,25,25,50,50,50,50,25,25,25,25,75,75
